Speaker,Speech,segmented_speech
"
นายสุทิน คลังแสง (สมาชิกสภาผู้แทนราษฎร) :"," กราบเรียนท่านประธาน
ที่เคารพ กระผม นายสุทิน คลังแสง สมาชิกสภาผู้แทนราษฎรแบบบัญชีรายชื่อ พรรคเพื่อไทย
ในฐานะสมาชิกรัฐสภา ขอใช้สิทธิเสนอชื่อบุคคลให้สภาพิจารณาเห็นชอบให้รับตาแหน่ง
หรือดารงตาแหน่งนายกรัฐมนตรี คือนายพิธา ลิ้มเจริญรัตน์ ขอผู้รับรองครับ
(มีสมาชิกยกมือขึ้นรับรอง)","['กราบเรียน', 'ท่าน', 'ประธาน', '\r\n', 'ที่', 'เคารพ', 'กระผม', 'นาย', 'สุทิน', 'คลังแสง', 'สมาชิกสภาผู้แทนราษฎร', 'แบบ', 'บัญชีรายชื่อ', 'พรรคเพื่อไทย', '\r\n', 'ใน', 'ฐานะ', 'สมาชิกรัฐสภา', 'ขอ', 'ใช้', 'สิทธิ', 'เสนอชื่อ', 'บุคคล', 'ให้', 'สภาพิจารณา', 'เห็นชอบ', 'ให้', 'รับ', 'ตา', 'แหน', '่ง', '\r\n', 'หรือ', 'ดารง', 'ตา', 'แหน', '่ง', 'นายกรัฐมนตรี', 'คือ', 'นาย', 'พิธา', 'ลิ้มเจริญรัตน์', 'ขอ', 'ผู้รับรอง', 'ครับ', '\r\n', '(', 'มี', 'สมาชิก', 'ยกมือขึ้น', 'รับรอง', ')']"
"
นายอัครเดช วงษ์พิทักษ์โรจน์ (สมาชิกสภาผู้แทนราษฎร) :", ท่านประธานครับ,"['ท่าน', 'ประธาน', 'ครับ']"
"
นายอัครเดช วงษ์พิทักษ์โรจน์ (สมาชิกสภาผู้แทนราษฎร) :"," ท่านประธานครับ
กระผม นายอัครเดช วงษ์พิทักษ์โรจน์ สมาชิกสภาผู้แทนราษฎรจังหวัดราชบุรี เขต ๔
พรรครวมไทยสร้างชาติ ในฐานะสมาชิกรัฐสภา ท่านประธานครับ วันนี้ได้เห็นเพื่อนสมาชิก
ลุกขึ้นมาเสนอนายพิธา ลิ้มเจริญรัตน์ จากพรรคก้าวไกล ขึ้นมาดารงตาแหน่งนายกรัฐมนตรี
วันนี้ผมขออนุญาตใช้สิทธิประท้วงท่านประธานว่ารัฐสภาของเรากาลังทาผิดข้อบังคับ
ข้อ ๔๑ ซึ่งได้บัญญัติไว้ว่า ญัตติใดที่ตกไปแล้วห้ามนาญัตติซึ่งมีหลักการเช่นเดียวกัน
ขึ้นเสนออีกในสมัยประชุมเดียวกัน เว้นแต่ญัตติที่ยังมิได้มีการลงมติ วันนั้นเราได้มีการลงมติ
ในญัตตินี้เรียบร้อยแล้วว่ามีเพื่อนสมาชิกเสนอคุณพิธา ลิ้มเจริญรัตน์ มาเป็นนายกรัฐมนตรี
แล้วก็ได้มีการลงมติ ซึ่งการลงมติในวันนั้นเสียงไม่ถึงกึ่งหนึ่งของรัฐสภา การที่ข้อบัญญัติ
หรือข้อบังคับสภาได้บัญญัติไว้ถือว่าเป็นกฎหมาย ผมเองในฐานะที่เคยเป็นอดีตกรรมาธิการ
ยกร่างข้อบังคับ ท่านประธานสภาก็เคยเป็นประธานสภามาแล้ว ท่านก็คงทราบนะครับว่า
ข้อบังคับของรัฐสภา หรือข้อบังคับของสภาผู้แทนราษฎรเรานี้มีสถานะเทียบเท่า พ.ร.บ.
การออกข้อบังคับของเรามีขั้นตอนเหมือนกับการออกพระราชบัญญัติ ข้อบังคับของสภานั้น
มีสถานะเทียบเท่าพระราชบัญญัติ เป็นกฎหมายที่สมาชิกรัฐสภาของเราจะต้องยึดถือ
และปฏิบัติ ฉะนั้นการที่เราได้มีการเสนอญัตติขึ้นมาซ้อนอีกครั้งหนึ่ง
(นายรังสิมันต์ โรม สมาชิกสภาผู้แทนราษฎร ได้ยืนและยกมือขึ้น)","['ท่าน', 'ประธาน', 'ครับ', '\r\n', 'กระผม', 'นายอัครเดช', 'วงษ์พิทักษ์โรจน์', 'สมาชิกสภาผู้แทนราษฎร', 'จังหวัด', 'ราชบุรี', 'เขต', '๔', '\r\n', 'พรรครวมไทยสร้างชาติ', 'ใน', 'ฐานะ', 'สมาชิกรัฐสภา', 'ท่าน', 'ประธาน', 'ครับ', 'วันนี้', 'ได้', 'เห็น', 'เพื่อน', 'สมาชิก', '\r\n', 'ลุกขึ้น', 'มา', 'เสนอนาย', 'พิธา', 'ลิ้มเจริญรัตน์', 'จาก', 'พรรคก้าวไกล', 'ขึ้น', 'มาดารง', 'ตา', 'แหน', '่ง', 'นายกรัฐมนตรี', '\r\n', 'วันนี้', 'ผม', 'ขออนุญาต', 'ใช้', 'สิทธิ', 'ประท้วง', 'ท่าน', 'ประธาน', 'ว่า', 'รัฐสภา', 'ของ', 'เรา', 'กาลัง', 'ทา', 'ผิด', 'ข้อบังคับ', '\r\n', 'ข้อ', '๔๑', 'ซึ่ง', 'ได้', 'บัญญัติ', 'ไว้', 'ว่า', 'ญัตติ', 'ใด', 'ที่', 'ตกไป', 'แล้ว', 'ห้ามนา', 'ญัตติ', 'ซึ่ง', 'มี', 'หลักการ', 'เช่นเดียวกัน', '\r\n', 'ขึ้น', 'เสนออีก', 'ใน', 'สมัยประชุม', 'เดียวกัน', 'เว้นแต่', 'ญัตติ', 'ที่', 'ยัง', 'มิได้', 'มี', 'การ', 'ลงมติ', 'วันนั้น', 'เรา', 'ได้', 'มี', 'การ', 'ลงมติ', '\r\n', 'ใน', 'ญัตติ', 'นี้', 'เรียบร้อย', 'แล้ว', 'ว่า', 'มี', 'เพื่อน', 'สมาชิก', 'เสนอ', 'คุณ', 'พิธา', 'ลิ้มเจริญรัตน์', 'มา', 'เป็น', 'นายกรัฐมนตรี', '\r\n', 'แล้วก็ได้', 'มี', 'การ', 'ลงมติ', 'ซึ่ง', 'การ', 'ลงมติ', 'ใน', 'วันนั้น', 'เสียง', 'ไม่', 'ถึง', 'กึ่งหนึ่ง', 'ของ', 'รัฐสภา', 'การที่', 'ข้อบัญญัติ', '\r\n', 'หรือ', 'ข้อบังคับ', 'สภา', 'ได้', 'บัญญัติ', 'ไว้', 'ถือว่า', 'เป็น', 'กฎหมาย', 'ผม', 'เอง', 'ใน', 'ฐานะ', 'ที่', 'เคย', 'เป็นอดีต', 'กรรมาธิการ', '\r\n', 'ยก', 'ร่าง', 'ข้อบังคับ', 'ท่าน', 'ประธาน', 'สภา', 'ก็', 'เคย', 'เป็น', 'ประธาน', 'สภา', 'มา', 'แล้ว', 'ท่านก็', 'คง', 'ทราบ', 'นะ', 'ครับ', 'ว่า', '\r\n', 'ข้อบังคับ', 'ของ', 'รัฐสภา', 'หรือ', 'ข้อบังคับ', 'ของ', 'สภาผู้แทนราษฎร', 'เรา', 'นี้', 'มี', 'สถานะ', 'เทียบเท่า', 'พ.ร.บ.', '\r\n', 'การออก', 'ข้อบังคับ', 'ของ', 'เรา', 'มี', 'ขั้นตอน', 'เหมือนกับ', 'การออก', 'พระราชบัญญัติ', 'ข้อบังคับ', 'ของ', 'สภา', 'นั้น', '\r\n', 'มี', 'สถานะ', 'เทียบเท่า', 'พระราชบัญญัติ', 'เป็น', 'กฎหมาย', 'ที่', 'สมาชิกรัฐสภา', 'ของ', 'เรา', 'จะ', 'ต้อง', 'ยึดถือ', '\r\n', 'และ', 'ปฏิบัติ', 'ฉะนั้น', 'การที่', 'เรา', 'ได้', 'มี', 'การ', 'เสนอ', 'ญัตติ', 'ขึ้น', 'มา', 'ซ้อนอีกครั้งหนึ่ง', '\r\n', '(', 'นาย', 'รังสิมันต์', 'โรม', 'สมาชิกสภาผู้แทนราษฎร', 'ได้', 'ยืน', 'และ', 'ยกมือขึ้น', ')']"
"
นายรังสิมันต์ โรม (สมาชิกสภาผู้แทนราษฎร) :"," ท่านประธานครับ
ขออนุญาตท่านประธานครับ ผม รังสิมันต์ ขอประท้วงครับ ผมขอประท้วงตามสิทธิ","['ท่าน', 'ประธาน', 'ครับ', '\r\n', 'ขออนุญาต', 'ท่าน', 'ประธาน', 'ครับ', 'ผม', 'รังสิมันต์', 'ขอ', 'ประท้วง', 'ครับ', 'ผม', 'ขอ', 'ประท้วง', 'ตามสิทธิ']"
"
นายรังสิมันต์ โรม (สมาชิกสภาผู้แทนราษฎร) :"," เรียนท่านประธานที่เคารพครับ
ผม รังสิมันต์ โรม สมาชิกสภาผู้แทนราษฎรแบบบัญชีรายชื่อ พรรคก้าวไกล ในฐานะสมาชิก
รัฐสภา กรณีนี้เป็นกรณีที่เรากาลังดาเนินการตามระเบียบวาระของการประชุมในการที่
จะต้องเลือกผู้ที่จะไปเป็นนายกรัฐมนตรี ซึ่งท่านประธานครับ ตามข้อบังคับ ข้อ ๕ มีอานาจ
ที่จะต้องปฏิบัติตามกฎหมายที่กาหนดเอาไว้ ประเด็นปัญหาของเรื่องนี้ก็คือเรากาลัง
ดาเนินการตามรัฐธรรมนูญครับ แต่ท่านประธาน ต้องขออนุญาตด้วยความเคารพนะครับ
ท่านเพื่อนสมาชิกที่ยกมือขอหารือต่อท่านประธาน กรณีนี้มันเป็นการดาเนินการที่ไม่ถูกต้อง
และเรากาลังดาเนินการในเรื่องของการเลือกบุคคลที่มีความเหมาะสมซึ่งอยู่ตามบัญชีตามที่
รัฐธรรมนูญกาหนดเอาไว้ การดาเนินกระบวนการเช่นนี้สุ่มเสี่ยงอย่างมากที่จะผิดขั้นตอน
ของรัฐธรรมนูญ ดังนั้นขอให้ท่านประธานช่วยควบคุมการประชุมให้ถูกต้อง ให้ชอบ
ด้วยกฎหมายด้วยครับ ขอบคุณครับ","['เรียน', 'ท่าน', 'ประธาน', 'ที่', 'เคารพ', 'ครับ', '\r\n', 'ผม', 'รังสิมันต์', 'โรม', 'สมาชิกสภาผู้แทนราษฎร', 'แบบ', 'บัญชีรายชื่อ', 'พรรคก้าวไกล', 'ใน', 'ฐานะ', 'สมาชิก', '\r\n', 'รัฐสภา', 'กรณี', 'นี้', 'เป็น', 'กรณี', 'ที่', 'เรา', 'กาลัง', 'ดา', 'เนิน', 'การตามระเบียบวาระ', 'ของการประชุม', 'ใน', 'การที่', '\r\n', 'จะ', 'ต้อง', 'เลือก', 'ผู้', 'ที่จะ', 'ไป', 'เป็น', 'นายกรัฐมนตรี', 'ซึ่ง', 'ท่าน', 'ประธาน', 'ครับ', 'ตาม', 'ข้อบังคับ', 'ข้อ', '๕', 'มี', 'อานา', 'จ', '\r\n', 'ที่จะ', 'ต้อง', 'ปฏิบัติตามกฎหมาย', 'ที่', 'กา', 'หน', 'ด', 'เอาไว้', 'ประเด็น', 'ปัญหา', 'ของ', 'เรื่อง', 'นี้', 'ก็', 'คือ', 'เรา', 'กาลัง', '\r\n', 'ดา', 'เนิน', 'การตามรัฐธรรมนูญ', 'ครับ', 'แต่', 'ท่าน', 'ประธาน', 'ต้อง', 'ขออนุญาต', 'ด้วย', 'ความเคารพ', 'นะ', 'ครับ', '\r\n', 'ท่าน', 'เพื่อน', 'สมาชิก', 'ที่', 'ยกมือ', 'ขอ', 'หารือ', 'ต่อ', 'ท่าน', 'ประธาน', 'กรณี', 'นี้', 'มัน', 'เป็นการดา', 'เนิน', 'การที่', 'ไม่', 'ถูกต้อง', '\r\n', 'และ', 'เรา', 'กาลัง', 'ดา', 'เนิน', 'การ', 'ใน', 'เรื่อง', 'ของการ', 'เลือก', 'บุคคล', 'ที่', 'มี', 'ความเหมาะสม', 'ซึ่ง', 'อยู่', 'ตาม', 'บัญชี', 'ตามที่', '\r\n', 'รัฐธรรมนูญ', 'กา', 'หน', 'ด', 'เอาไว้', 'การดา', 'เนิน', 'กระบวนการ', 'เช่นนี้', 'สุ่ม', 'เสี่ยงอย่างมาก', 'ที่จะ', 'ผิด', 'ขั้นตอน', '\r\n', 'ของ', 'รัฐธรรมนูญ', 'ดังนั้น', 'ขอให้ท่าน', 'ประธาน', 'ช่วย', 'ควบคุมการประชุม', 'ให้', 'ถูกต้อง', 'ให้', 'ชอบ', '\r\n', 'ด้วย', 'กฎหมาย', 'ด้วย', 'ครับ', 'ขอบคุณ', 'ครับ']"
"
นายอัครเดช วงษ์พิทักษ์โรจน์ (สมาชิกสภาผู้แทนราษฎร) :"," ขอบคุณ
ท่านประธานครับ ท่านประธานครับ กระผม นายอัครเดช วงษ์พิทักษ์โรจน์ สมาชิก
สภาผู้แทนราษฎรจังหวัดราชบุรี พรรครวมไทยสร้างชาติ ในฐานะสมาชิกรัฐสภา
ท่านประธานครับ ผมไม่ได้ลุกขึ้นมาอภิปรายนะครับว่าคุณพิธา ลิ้มเจริญรัตน์ เหมาะสม
ในการดารงตาแหน่งนายกรัฐมนตรีหรือไม่ แต่ผมกาลังอภิปรายครับว่ารัฐสภาของเรา
ถ้ามีการพิจารณาญัตตินี้จะเป็นการกระทาที่ขัดกับข้อบังคับซึ่งมีสถานะเป็นกฎหมาย
(นายณัฐวุฒิ บัวประทุม สมาชิกสภาผู้แทนราษฎร ได้ยืนและยกมือขึ้น)","['ขอบคุณ', '\r\n', 'ท่าน', 'ประธาน', 'ครับ', 'ท่าน', 'ประธาน', 'ครับ', 'กระผม', 'นายอัครเดช', 'วงษ์พิทักษ์โรจน์', 'สมาชิก', '\r\n', 'สภาผู้แทนราษฎร', 'จังหวัด', 'ราชบุรี', 'พรรครวมไทยสร้างชาติ', 'ใน', 'ฐานะ', 'สมาชิกรัฐสภา', '\r\n', 'ท่าน', 'ประธาน', 'ครับ', 'ผม', 'ไม่', 'ได้', 'ลุกขึ้น', 'มา', 'อภิปราย', 'นะ', 'ครับ', 'ว่า', 'คุณ', 'พิธา', 'ลิ้มเจริญรัตน์', 'เหมาะสม', '\r\n', 'ใน', 'การดารง', 'ตา', 'แหน', '่ง', 'นายกรัฐมนตรี', 'หรือไม่', 'แต่', 'ผม', 'กาลัง', 'อภิปราย', 'ครับ', 'ว่า', 'รัฐสภา', 'ของ', 'เรา', '\r\n', 'ถ้า', 'มี', 'การพิจารณา', 'ญัตติ', 'นี้', 'จะ', 'เป็นการกระทา', 'ที่', 'ขัด', 'กับ', 'ข้อบังคับ', 'ซึ่ง', 'มี', 'สถานะ', 'เป็น', 'กฎหมาย', '\r\n', '(', 'นาย', 'ณัฐวุฒิ', 'บัวประทุม', 'สมาชิกสภาผู้แทนราษฎร', 'ได้', 'ยืน', 'และ', 'ยกมือขึ้น', ')']"
"
นายณัฐวุฒิ บัวประทุม (สมาชิกสภาผู้แทนราษฎร) :"," ท่านประธาน
ผมประท้วงท่านประธานครับ เพื่อนสมาชิกยืนขึ้นประท้วงนานแล้วครับท่านประธาน","['ท่าน', 'ประธาน', '\r\n', 'ผม', 'ประท้วง', 'ท่าน', 'ประธาน', 'ครับ', 'เพื่อน', 'สมาชิก', 'ยืน', 'ขึ้น', 'ประท้วง', 'นาน', 'แล้ว', 'ครับ', 'ท่าน', 'ประธาน']"
"
นายณัฐวุฒิ บัวประทุม (สมาชิกสภาผู้แทนราษฎร) :"," คุณจุลพันธ์ยืนนาน
แล้วครับท่านประธาน","['คุณ', 'จุลพันธ์', 'ยืนนาน', '\r\n', 'แล้ว', 'ครับ', 'ท่าน', 'ประธาน']"
"
นายจุลพันธ์ อมรวิวัฒน์ (สมาชิกสภาผู้แทนราษฎร) :"," ท่านประธานที่เคารพ
กระผม จุลพันธ์ อมรวิวัฒน์ พรรคเพื่อไทย จังหวัดเชียงใหม่ ในฐานะสมาชิกรัฐสภา
ผมประท้วงกระบวนการที่กาลังทาอยู่นี้ว่าขัดข้อบังคับการประชุม ข้อ ๓๖ ขณะนี้มี
เพื่อนสมาชิก ท่านสุทิน คลังแสง ได้เสนอบุคคลผู้จะขึ้นดารงตาแหน่งนายกรัฐมนตรี
กระบวนการอยู่ในขั้นตอนของรัฐสภาที่จะต้องให้การรับรองด้วยการเสียบบัตรแสดงตน
แบบเปิดเผย แต่เพื่อนสมาชิกจากฟากฝั่ง ๑๐ พรรค ด้วยความเคารพนะครับ ท่านไม่ได้ผิด
อะไรครับ แต่ท่านลุกขึ้นมาเร็วไปนิดหนึ่งนะครับ เพราะว่ากระบวนการยังไม่ครบถ้วน
ถ้าท่านประธานจะกรุณาให้มีการดาเนินการในการที่จะได้แสดงตนและรับรองญัตตินี้
ให้เรียบร้อย เราจึงจะเดินหน้าสู่การถกเถียงกันว่ามันเข้าข้อ ๔๑ หรือไม่ ซึ่งท่านประธานก็ได้
กรุณาเปิดกรอบเวลาจากการประชุมร่วม ๓ ฝ่ายแล้วว่าเราจะใช้เวลาราว ๒ ชั่วโมงเศษ
ในการที่จะมาหารือกันในเรื่องนี้และหาข้อสรุป เพราะฉะนั้นดาเนินการให้ถูกต้อง
ตามขั้นตอนครับ ขณะนี้ขอท่านประธานดาเนินการในการรับรองก่อน ขอความกรุณา
ท่านอัครเดชสักครู่นะครับ ขอบพระคุณครับ","['ท่าน', 'ประธาน', 'ที่', 'เคารพ', '\r\n', 'กระผม', 'จุลพันธ์', 'อมรวิวัฒน์', 'พรรคเพื่อไทย', 'จังหวัด', 'เชียงใหม่', 'ใน', 'ฐานะ', 'สมาชิกรัฐสภา', '\r\n', 'ผม', 'ประท้วง', 'กระบวนการที่', 'กาลัง', 'ทา', 'อยู่', 'นี้', 'ว่า', 'ขัด', 'ข้อบังคับการประชุม', 'ข้อ', '๓๖', 'ขณะนี้', 'มี', '\r\n', 'เพื่อน', 'สมาชิก', 'ท่าน', 'สุทิน', 'คลังแสง', 'ได้', 'เสนอบุคคล', 'ผู้', 'จะ', 'ขึ้น', 'ดารง', 'ตา', 'แหน', '่ง', 'นายกรัฐมนตรี', '\r\n', 'กระบวนการอยู่', 'ใน', 'ขั้นตอนของ', 'รัฐสภา', 'ที่จะ', 'ต้อง', 'ให้การรับรองด้วย', 'การ', 'เสียบ', 'บัตร', 'แสดงตน', '\r\n', 'แบบ', 'เปิดเผย', 'แต่', 'เพื่อน', 'สมาชิก', 'จาก', 'ฟาก', 'ฝั่ง', '๑๐', 'พรรค', 'ด้วย', 'ความเคารพ', 'นะ', 'ครับ', 'ท่าน', 'ไม่', 'ได้', 'ผิด', '\r\n', 'อะไร', 'ครับ', 'แต่', 'ท่าน', 'ลุกขึ้น', 'มา', 'เร็ว', 'ไป', 'นิดหนึ่ง', 'นะ', 'ครับ', 'เพราะว่า', 'กระบวนการ', 'ยัง', 'ไม่', 'ครบถ้วน', '\r\n', 'ถ้า', 'ท่าน', 'ประธาน', 'จะ', 'กรุณา', 'ให้', 'มี', 'การดา', 'เนิน', 'การ', 'ใน', 'การที่จะ', 'ได้', 'แสดงตน', 'และ', 'รับรอง', 'ญัตติ', 'นี้', '\r\n', 'ให้', 'เรียบร้อย', 'เรา', 'จึง', 'จะ', 'เดินหน้า', 'สู่', 'การถกเถียง', 'กัน', 'ว่า', 'มัน', 'เข้าข้อ', '๔๑', 'หรือไม่', 'ซึ่ง', 'ท่าน', 'ประธาน', 'ก็ได้', '\r\n', 'กรุณา', 'เปิด', 'กรอบ', 'เวลา', 'จากการประชุมร่วม', '๓', 'ฝ่าย', 'แล้ว', 'ว่า', 'เรา', 'จะ', 'ใช้เวลา', 'ราว', '๒', 'ชั่วโมง', 'เศษ', '\r\n', 'ใน', 'การที่จะ', 'มาหารือ', 'กัน', 'ใน', 'เรื่อง', 'นี้', 'และ', 'หา', 'ข้อสรุป', 'เพราะฉะนั้น', 'ดา', 'เนิน', 'การ', 'ให้', 'ถูกต้อง', '\r\n', 'ตาม', 'ขั้นตอนครับ', 'ขณะนี้', 'ขอ', 'ท่าน', 'ประธาน', 'ดา', 'เนิน', 'การ', 'ใน', 'การรับรองก่อน', 'ขอความกรุณา', '\r\n', 'ท่านอัครเดช', 'สักครู่', 'นะ', 'ครับ', 'ขอบพระคุณ', 'ครับ']"
"
นายอัครเดช วงษ์พิทักษ์โรจน์ (สมาชิกสภาผู้แทนราษฎร) :"," รับทราบครับ
ท่านประธาน ขอบพระคุณครับ","['รับทราบ', 'ครับ', '\r\n', 'ท่าน', 'ประธาน', 'ขอบพระคุณ', 'ครับ']"
