Speaker,Speech,segmented_speech
"
นายจุลพันธ์ อมรวิวัฒน์ สมาชิกสภาผู้แทนราษฎร (เชียงใหม่) :","
ท่านประธานครับ ผม จุล โอเค (OK) ครับ รับทราบครับ ผมเห็นท่านพูดมาหลายวันเหมือนกัน
เพราะท่านก็บอกว่านายกรัฐมนตรีมาก็ต้องมาพูดเอง ไม่ต้องอ่าน เพราะท่านเป็นคนพูดเอง
ผมไม่ทะเลาะกับท่านอยู่แล้ว เอาละผมจะอ่านให้ฟัง อ่านภาษาไทยนี่ละ คุณเปิดหนังสือ
แล้วอ่านตามผมไปด้วย ไม่ใช่ไม่อ่าน การต่อสู้ความไม่สงบภายในประเทศในอดีต ภัยคุกคาม
รูปแบบใหม่ ยาเสพติดข้ามชาติ เครือข่ายก่อการร้ายข้ามชาติ โรคระบาด สงครามไซเบอร์
เหล่านี้สะท้อนให้เห็นถึงความเสี่ยงของการบริหารประเทศที่รัฐบาลจะต้องเผชิญได้เป็นอย่างดี
ประชาชนที่ฟังอยู่ทางบ้านเข้าใจด้วยนะครับ รัฐบาลนี้มีความมุ่งมั่นที่จะพัฒนาประเทศไทย
(นายชลน่าน ศรีแก้ว สมาชิกสภาผู้แทนราษฎรจังหวัดน่าน ได้ยืนและยกมือขึ้น)","['\r\n', 'ท่าน', 'ประธาน', 'ครับ', 'ผม', 'จุล', 'โอเค', '(', 'OK', ')', 'ครับ', 'รับทราบ', 'ครับ', 'ผม', 'เห็นท่านพูดมา', 'หลาย', 'วัน', 'เหมือนกัน', '\r\n', 'เพราะ', 'ท่านก็', 'บอกว่านายกรัฐมนตรี', 'มาก็', 'ต้องมา', 'พูด', 'เอง', 'ไม่ต้องอ่าน', 'เพราะ', 'ท่าน', 'เป็น', 'คนพูด', 'เอง', '\r\n', 'ผม', 'ไม่', 'ทะเลาะ', 'กับ', 'ท่านอยู่แล้ว', 'เอาละ', 'ผม', 'จะ', 'อ่าน', 'ให้', 'ฟัง', 'อ่านภาษาไทย', 'นี่', 'ละ', 'คุณ', 'เปิด', 'หนังสือ', '\r\n', 'แล้วอ่าน', 'ตาม', 'ผม', 'ไป', 'ด้วย', 'ไม่', 'ใช่', 'ไม่', 'อ่าน', 'การต่อสู้ความ', 'ไม่', 'สงบ', 'ภายในประเทศ', 'ใน', 'อดีต', 'ภัย', 'คุกคาม', '\r\n', 'รูปแบบ', 'ใหม่', 'ยาเสพติด', 'ข้ามชาติ', 'เครือข่ายก่อการร้าย', 'ข้ามชาติ', 'โรคระบาด', 'สงคราม', 'ไซเบอร์', '\r\n', 'เหล่านี้', 'สะท้อน', 'ให้', 'เห็น', 'ถึง', 'ความเสี่ยง', 'ของการบริหาร', 'ประเทศ', 'ที่', 'รัฐบาล', 'จะ', 'ต้อง', 'เผชิญ', 'ได้', 'เป็น', 'อย่างดี', '\r\n', 'ประชาชน', 'ที่', 'ฟัง', 'อยู่', 'ทางบ้าน', 'เข้าใจ', 'ด้วย', 'นะ', 'ครับ', 'รัฐบาลนี้', 'มี', 'ความมุ่งมั่น', 'ที่จะ', 'พัฒนา', 'ประเทศ', 'ไทย', '\r\n', '(', 'นาย', 'ชลน่าน', 'ศรีแก้ว', 'สมาชิกสภาผู้แทนราษฎร', 'จังหวัด', 'น่าน', 'ได้', 'ยืน', 'และ', 'ยกมือขึ้น', ')']"
"
นายชลน่าน ศรีแก้ว สมาชิกสภาผู้แทนราษฎร (น่าน) :"," ท่านประธาน
ที่เคารพ กระผม ขอบคุณครับ","['ท่าน', 'ประธาน', '\r\n', 'ที่', 'เคารพ', 'กระผม', 'ขอบคุณ', 'ครับ']"
"
นายคารม พลพรกลาง สมาชิกสภาผู้แทนราษฎร (แบบบัญชีรายชื่อ) :","
ขออนุญาตครับ ขออนุญาตประท้วงท่านประธานครับ ขออนุญาตประท้วงท่านนายกรัฐมนตรีครับ
ผม นายคารม พลพรกลาง สมาชิกสภาผู้แทนราษฎร พรรคอนาคตใหม่ แบบบัญชีรายชื่อ
ในฐานะสมาชิกรัฐสภา ผมต้องขออนุญาตประท้วงท่านนายกรัฐมนตรีตามข้อ ๑๐๗
รัฐธรรมนูญ มาตรา ๑๖๒ ต้องเรียนนะครับท่านนายกรัฐมนตรี ที่นี้ไม่ใช่ทหารที่ท่านจะมาพูด
มาชี้ มาสั่ง ที่นี้คือสมาชิกรัฐสภา","['\r\n', 'ขออนุญาต', 'ครับ', 'ขออนุญาต', 'ประท้วง', 'ท่าน', 'ประธาน', 'ครับ', 'ขออนุญาต', 'ประท้วง', 'ท่าน', 'นายกรัฐมนตรี', 'ครับ', '\r\n', 'ผม', 'นาย', 'คารม', 'พลพรกลาง', 'สมาชิกสภาผู้แทนราษฎร', 'พรรคอนาคตใหม่', 'แบบ', 'บัญชีรายชื่อ', '\r\n', 'ใน', 'ฐานะ', 'สมาชิกรัฐสภา', 'ผม', 'ต้อง', 'ขออนุญาต', 'ประท้วง', 'ท่าน', 'นายกรัฐมนตรี', 'ตาม', 'ข้อ', '๑๐๗', '\r\n', 'รัฐธรรมนูญ', 'มาตรา', '๑๖๒', 'ต้อง', 'เรียน', 'นะ', 'ครับ', 'ท่าน', 'นายกรัฐมนตรี', 'ที่', 'นี้', 'ไม่', 'ใช่', 'ทหาร', 'ที่', 'ท่าน', 'จะ', 'มา', 'พูด', '\r\n', 'มา', 'ชี้', 'มาสั่ง', 'ที่', 'นี้', 'คือ', 'สมาชิกรัฐสภา']"
"
นายคารม พลพรกลาง สมาชิกสภาผู้แทนราษฎร (แบบบัญชีรายชื่อ) :","
ไม่ครับ ท่านประธานครับ","['\r\n', 'ไม่', 'ครับ', 'ท่าน', 'ประธาน', 'ครับ']"
"
นายคารม พลพรกลาง สมาชิกสภาผู้แทนราษฎร (แบบบัญชีรายชื่อ) :","
เพราะฉะนั้นผมมาฟังนายกรัฐมนตรีแถลงนโยบาย ไม่ใช่เป็นผู้ใต้บังคับบัญชาของท่าน
ท่านมาพูดข่มขู่หรือมาสั่งสอนไม่ได้","['\r\n', 'เพราะฉะนั้น', 'ผม', 'มา', 'ฟัง', 'นายกรัฐมนตรี', 'แถลง', 'นโยบาย', 'ไม่', 'ใช่', 'เป็น', 'ผู้ใต้บังคับบัญชา', 'ของ', 'ท่าน', '\r\n', 'ท่านมา', 'พูด', 'ข่มขู่', 'หรือ', 'มาสั่งสอน', 'ไม่', 'ได้']"
"
นายวิรัช รัตนเศรษฐ สมาชิกสภาผู้แทนราษฎร (แบบบัญชีรายชื่อ) :","
ท่านประธานครับ ขออนุญาตครับ ท่านประธานไม่สังเกตหรือครับว่ามันผิดข้อบังคับ
ตั้งหลายอันที่ท่านคารมได้พูดไปเมื่อสักครู่ ที่บอกว่าที่นี่ไม่ใช่ค่ายทหาร ที่นั่งกันอยู่ตรงนี้
ก็สมาชิกสภาผู้แทนราษฎรกับสมาชิกวุฒิสภาทั้งนั้นครับ ท่านประธานครับ","['\r\n', 'ท่าน', 'ประธาน', 'ครับ', 'ขออนุญาต', 'ครับ', 'ท่าน', 'ประธาน', 'ไม่', 'สังเกต', 'หรือ', 'ครับ', 'ว่า', 'มัน', 'ผิด', 'ข้อบังคับ', '\r\n', 'ตั้ง', 'หลายอัน', 'ที่', 'ท่านคารม', 'ได้', 'พูด', 'ไป', 'เมื่อ', 'สักครู่', 'ที่', 'บอกว่าที่นี่', 'ไม่', 'ใช่', 'ค่ายทหาร', 'ที่นั่ง', 'กัน', 'อยู่', 'ตรงนี้', '\r\n', 'ก็', 'สมาชิกสภาผู้แทนราษฎร', 'กับ', 'สมาชิกวุฒิสภา', 'ทั้งนั้น', 'ครับ', 'ท่าน', 'ประธาน', 'ครับ']"
"
นายวิรัช รัตนเศรษฐ สมาชิกสภาผู้แทนราษฎร (แบบบัญชีรายชื่อ) :","
คือเดี๋ยวผมขออนุญาตท่านประธานนิดหนึ่งครับว่า เวลาเราก็น้อย","['\r\n', 'คือ', 'เดี๋ยว', 'ผม', 'ขออนุญาต', 'ท่าน', 'ประธาน', 'นิดหนึ่ง', 'ครับ', 'ว่า', 'เวลา', 'เรา', 'ก็', 'น้อย']"
"
นายวิรัช รัตนเศรษฐ สมาชิกสภาผู้แทนราษฎร (แบบบัญชีรายชื่อ) :","
ถ้าเผื่อใครประท้วงนี่ท่านประธาน","['\r\n', 'ถ้า', 'เผื่อ', 'ใคร', 'ประท้วง', 'นี่', 'ท่าน', 'ประธาน']"
"
นายชลน่าน ศรีแก้ว สมาชิกสภาผู้แทนราษฎร (น่าน) :"," ท่านประธานรัฐสภา
ที่เคารพ กระผม ชลน่าน ศรีแก้ว สมาชิกรัฐสภา ด้วยความเคารพท่านประธานจริง ๆ ครับ
การแถลงนโยบาย ผมพยายามตามที่ท่านผู้แถลงนโยบายได้อ่านให้พวกเราฟังนะครับ
ปรากฏว่าถ้อยคาที่ส่งให้พวกเราเล่มนี้เป็นเล่มที่แถลงนโยบาย ซึ่งถ้อยคาเหล่านี้จะถูกบันทึก
ไว้ในสภา ในรัฐสภา ถ้าท่านอ่านเพียงบางประโยคอ่านข้ามไปข้ามมา ใจความข้อความ
ทั้งหมดจะไม่ถูกบันทึกไว้ในสภา รายงานการประชุมที่เราจะตรวจสอบ สิ่งที่เราจะทวนสอบ
กลับคืนมาก็ขาดหายไป ด้วยความเคารพท่านประธานครับ ท่านประธานต้องให้ท่านผู้แถลง
นโยบายเป็นไปตามข้อบังคับของการประชุมรัฐสภา หรือท่านประธานจะดูว่าเล่มที่ท่านใช้อยู่
ไม่ใช่เล่มนี้ ด้วยความเคารพผมไม่ได้อยากที่จะขึ้นมาประท้วงท่านครับ แต่ว่าเป็นไปตาม
ระเบียบวิธีการประชุมของเรา ไม่อย่างนั้นเราติดตามเราจะตรวจสอบรายงานการประชุม
ไม่ได้ ท่านประธานโปรดวินิจฉัยครับ","['ท่าน', 'ประธานรัฐสภา', '\r\n', 'ที่', 'เคารพ', 'กระผม', 'ชลน่าน', 'ศรีแก้ว', 'สมาชิกรัฐสภา', 'ด้วย', 'ความเคารพ', 'ท่าน', 'ประธาน', 'จริง ๆ', 'ครับ', '\r\n', 'การแถลง', 'นโยบาย', 'ผม', 'พยายาม', 'ตามที่', 'ท่าน', 'ผู้', 'แถลง', 'นโยบาย', 'ได้', 'อ่าน', 'ให้', 'พวกเรา', 'ฟัง', 'นะ', 'ครับ', '\r\n', 'ปรากฏ', 'ว่า', 'ถ้อย', 'คาที่', 'ส่ง', 'ให้', 'พวกเรา', 'เล่ม', 'นี้', 'เป็น', 'เล่ม', 'ที่', 'แถลง', 'นโยบาย', 'ซึ่ง', 'ถ้อย', 'คา', 'เหล่านี้', 'จะ', 'ถูกบันทึก', '\r\n', 'ไว้', 'ใน', 'สภา', 'ใน', 'รัฐสภา', 'ถ้า', 'ท่านอ่าน', 'เพียง', 'บาง', 'ประโยคอ่านข้าม', 'ไป', 'ข้าม', 'มา', 'ใจความ', 'ข้อความ', '\r\n', 'ทั้งหมด', 'จะ', 'ไม่', 'ถูกบันทึก', 'ไว้', 'ใน', 'สภา', 'รายงานการประชุมที่', 'เรา', 'จะ', 'ตรวจสอบ', 'สิ่ง', 'ที่', 'เรา', 'จะ', 'ทวน', 'สอบ', '\r\n', 'กลับคืน', 'มาก็', 'ขาดหาย', 'ไป', 'ด้วย', 'ความเคารพ', 'ท่าน', 'ประธาน', 'ครับ', 'ท่าน', 'ประธาน', 'ต้อง', 'ให้ท่าน', 'ผู้', 'แถลง', '\r\n', 'นโยบาย', 'เป็นไปตาม', 'ข้อบังคับ', 'ของการประชุมรัฐสภา', 'หรือ', 'ท่าน', 'ประธาน', 'จะ', 'ดู', 'ว่า', 'เล่ม', 'ที่', 'ท่าน', 'ใช้', 'อยู่', '\r\n', 'ไม่', 'ใช่', 'เล่ม', 'นี้', 'ด้วย', 'ความเคารพ', 'ผม', 'ไม่', 'ได้', 'อยาก', 'ที่จะ', 'ขึ้น', 'มา', 'ประท้วง', 'ท่านครับ', 'แต่ว่า', 'เป็นไปตาม', '\r\n', 'ระเบียบวิธีการประชุม', 'ของ', 'เรา', 'ไม่อย่างนั้น', 'เรา', 'ติดตาม', 'เรา', 'จะ', 'ตรวจสอบรายงานการประชุม', '\r\n', 'ไม่', 'ได้', 'ท่าน', 'ประธาน', 'โปรด', 'วินิจฉัย', 'ครับ']"
"
นายจิรายุ ห่วงทรัพย์ สมาชิกสภาผู้แทนราษฎร (กรุงเทพมหานคร) :","
ท่านประธานประท้วงครับ","['\r\n', 'ท่าน', 'ประธาน', 'ประท้วง', 'ครับ']"
